"Market/Month","JAN","FEB","MAR","APR","MAY","JUNE","JULY","AUG","SEPT","OCT","NOV","DEC"
"KIAMBU",17.50,17.50,16.50,17.50,17.50,".",18.25,17.50,20.00,17.50,20.00,20.00
"LIMURU",20.00,20.00,20.00,20.00,20.00,".",16.75,15.00,17.50,17.50,17.50,17.50
"THIKA",14.29,25.00,20.00,20.00,22.00,25.00,20.00,22.73,22.73,25.00,25.00,25.00
"GATUNDU",19.00,20.00,25.00,25.00,20.00,22.73,20.00,22.73,22.73,23.81,25.00,20.00
"KUTUS",".",".",".",".",13.04,14.00,13.04,13.04,13.64,13.64,".","."
"SAGANA",".",".",".",".",22.73,20.83,21.43,13.66,15.91,14.29,".","."
"KERUGOYA",".",".",".",".",18.18,18.18,15.91,15.91,13.64,15.22,".","."
"MUTHITHI",14.29,14.29,16.67,16.67,16.67,16.67,14.29,14.29,14.29,14.29,19.05,19.05
"MUKUYU",33.33,33.33,28.57,28.57,28.57,19.05,14.29,14.29,14.29,14.29,14.29,16.67
"KIRIAINI",33.33,33.33,33.33,33.33,28.57,23.81,16.67,19.05,16.67,16.67,16.67,16.67
"ENGINEER",".",".",30.00,30.00,27.27,22.73,25.00,20.45,".",20.00,18.18,18.18
"NANYUKI",38.89,33.33,33.33,27.78,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22
"SIPILI",34.09,33.33,27.27,".",26.19,23.81,".",".",".",".",".","."
"MARIAKANI",".",".",".",".",".",".",30.00,30.00,30.00,".",".","."
"KALOLENI",".",".",".",".",".",27.00,27.00,25.00,25.00,".",".","."
"MALINDI",35.00,30.00,30.00,30.00,25.00,25.00,".",".",".",20.00,20.00,18.79
"KIBAUNI KILIFI",".",".",".",".",".",25.00,20.00,20.00,20.00,".",".","."
"RUNYENJES",30.00,25.00,20.00,17.50,13.64,13.64,13.64,13.64,13.64,13.64,15.91,18.18
"EMBU TOWN",31.50,27.50,20.00,20.00,13.64,15.91,13.64,13.64,13.64,13.64,18.18,18.18
"SIAKAGO",32.50,22.50,20.00,17.50,17.50,15.00,15.00,14.29,17.14,34.42,15.91,19.05
"MWINGI",".",".",".",".",".",19.00,19.09,20.00,20.00,20.00,18.00,20.00
"MIGWANI",30.00,25.00,25.00,15.91,15.00,15.00,14.00,15.00,14.00,14.00,14.00,15.00
"KALUNDU",".",".",".",".",20.00,20.00,20.00,18.00,18.00,18.00,18.00,"."
"MACHAKOS
TOWN",28.50,28.00,".",20.00,20.00,17.00,15.00,18.00,15.00,17.00,17.00,18.00
"TALA",".",".",".",".",10.00,10.00,10.00,".",".",11.00,".","."
"KIANJAI",37.22,22.22,15.56,11.11,11.11,12.22,11.11,11.11,11.11,11.11,".","."
"MWENDANTU",32.00,25.00,18.18,15.00,13.64,0.00,12.00,10.91,11.82,13.00,".","."
"WOTE",28.00,25.00,".",18.00,18.00,17.00,15.00,17.00,17.00,17.00,17.00,17.00
"DARAJA MBILI",22.73,23.64,24.09,25.00,22.73,18.18,22.73,15.91,18.18,19.05,22.73,22.73
"KIBIRIGO",".",".",".",23.08,23.08,20.83,16.00,16.00,14.95,18.00,18.00,20.45
"RIOSIRE",".",".",".",".",".",19.00,20.00,13.04,".",14.00,18.00,"."
