"Kiambu","-",,35.00,35.00,35.00,35.00,,,40.00,40.00,40.00,40.00
"Limuru",,,35.00,35.00,35.00,35.00,,,40.00,38.75,40.00,40.00
"Thika","-",45.00,45.00,,,40.00,40.00,40.00,40.00,40.00,40.00,"-"
"Gatundu","-","-",44.17,45.00,45.00,45.00,30.00,36.25,35.00,35.00,"-","-"
"Kutus",32.41,24.00,23.71,25.36,25.00,29.17,33.33,32.03,32.00,36.04,35.71,37.50
"Sagana",29.03,26.39,42.28,51.19,22.78,31.82,39.05,33.34,29.05,33.37,38.14,41.25
"Kerugoya",34.61,33.33,28.17,27.70,22.48,33.41,38.10,51.13,30.43,35.57,38.24,40.91
"Muthithi",22.73,22.73,22.73,23.87,24.09,25.00,26.14,31.82,32.39,34.09,34.09,35.00
"Makuyu",28.57,28.57,27.98,23.81,26.19,"-","-","-","-",,37.30,38.10
"Kiriaini",32.50,35.00,34.38,35.00,,"-","-","-","-",37.50,37.00,37.92
"Ol  Kalou","-","-","-","-","-","-","-",47.62,50.00,50.00,45.00,45.00
"Ndaragwa","-","-","-","-","-","-","-","-",33.33,40.00,40.50,"-"
"Nyeri",31.82,33.79,37.96,35.80,31.47,32.19,39.47,40.00,40.00,36.32,40.00,40.00
"Endarasha",38.10,35.71,,,,30.00,30.10,35.00,35.00,35.00,35.00,35.00
"Karatina",34.17,35.00,33.75,32.50,30.08,24.41,31.27,34.17,33.36,31.86,30.00,30.00
"Gakindu",33.36,34.58,36.95,35.97,30.00,46.67,38.26,38.49,35.00,38.75,40.00,40.00
"Nanyuki",40.37,38.80,38.47,38.47,37.95,38.26,30.71,33.36,38.63,44.44,44.69,48.20
"Nyahururu",22.73,24.24,25.00,27.27,28.64,28.64,28.03,32.20,31.82,34.85,31.82,31.82
"Ukunda",40.00,40.00,40.00,40.00,39.89,40.86,40.89,41.45,41.00,41.00,40.00,40.00
"Kwale",39.00,39.33,38.00,38.57,38.42,38.50,42.00,42.00,42.00,41.40,41.78,40.00
