"Kiambu",49.38,45.00,45.00,45.00,40.00,45.00,43.75,40.00,40.00,40.00,40.00,"-"
"Limuru",40.00,40.00,40.00,40.00,43.33,45.00,40.00,40.00,40.00,40.00,40.00,"-"
"Thika",46.25,47.50,47.14,47.78,48.00,45.00,45.00,45.00,42.50,50.00,50.00,"-"
"Gatundu",29.69,19.86,22.04,25.71,29.29,40.00,"-",40.27,43.38,43.50,41.89,"-"
"Kutus",36.19,40.91,37.47,33.85,35.00,34.37,35.51,27.79,26.00,27.78,28.00,"-"
"Sagana",38.41,38.68,42.15,39.58,41.30,41.56,37.76,32.47,30.78,35.87,37.90,"-"
"Kerugoya",37.35,36.36,37.25,37.50,39.57,40.02,38.28,34.78,33.70,34.46,33.70,"-"
"Muthithi",38.10,38.10,35.71,33.33,35.76,36.36,34.54,31.82,31.82,31.82,"-","-"
"Makuyu",38.10,38.10,38.10,39.29,38.57,40.48,38.10,36.31,29.17,"-","-","-"
"Kiriaini",40.83,"-","-",38.58,38.58,38.10,38.10,29.90,"-","-","-","-"
"Engineer","-",45.00,45.00,40.00,40.00,40.00,40.00,42.50,40.00,40.00,,"-"
"Nyeri","-","-","-","-",44.73,38.71,42.50,40.00,45.00,44.00,37.65,40.00
"Endarasha",42.95,45.15,48.81,"-",48.02,48.22,47.22,46.03,41.27,42.07,32.39,38.10
"Karatina",38.56,42.71,48.81,"-",44.17,44.38,41.55,41.67,36.51,35.32,34.19,38.75
"Gakindu",38.10,38.10,38.10,"-",45.00,42.50,44.14,42.86,39.69,35.40,38.33,34.44
"Nanyuki",43.21,44.57,41.09,45.90,45.53,47.06,46.29,45.20,46.11,45.27,44.69,36.70
"Nyahururu",31.82,31.82,35.23,36.36,36.36,37.88,40.91,36.36,40.91,34.09,28.18,38.64
"Kaloleni",39.41,40.00,40.00,40.00,40.00,40.00,40.00,39.50,38.00,36.20,35.00,"-"
"KibauniKilifi",43.75,45.00,45.00,45.00,45.00,42.50,40.00,40.00,40.00,43.00,45.00,"-"
"Ukunda",39.00,40.00,40.00,40.00,40.00,45.00,45.00,42.00,42.50,32.50,35.00,30.00
"Kwale",40.52,44.10,43.33,42.00,39.20,38.80,45.00,44.00,42.50,42.00,38.25,38.75
"MwembeTayari",57.67,57.50,45.75,47.50,48.40,50.00,51.00,51.25,48.75,47.00,41.67,42.00
